Date,M,Day,Humidity(Day),Humidity(Night),Temperature(Day),Temperature(Night),Carbon(Day),Carbon(Night),Year,Month
5/4/2024,MAY,4,71,49,39,26.8,465,534,2024,5
5/5/2024,MAY,5,50,47,37,26.3,459,612,2024,5
5/6/2024,MAY,6,47,41,37.8,25.5,420,605,2024,5
5/7/2024,MAY,7,53,43,35,26,450,590,2024,5
5/8/2024,MAY,8,54,38,39,24.4,435,545,2024,5
5/9/2024,MAY,9,44,46,40,28.3,420,540,2024,5
5/10/2024,MAY,10,54,46,39.9,26.2,460,520,2024,5
5/11/2024,MAY,11,65,42,39,25.2,398,450,2024,5
5/12/2024,MAY,12,51,43,40.3,27.1,450,604,2024,5
5/13/2024,MAY,13,48,40,42,27.8,460,512,2024,5
5/14/2024,MAY,14,44,38,43.7,30.2,487,550,2024,5
5/15/2024,MAY,15,43,38,43.8,30.4,490,570,2024,5
5/16/2024,MAY,16,44,33,44.5,31.2,467,570,2024,5
5/17/2024,MAY,17,43,44,44,32.5,540,600,2024,5
5/18/2024,MAY,18,52,68,42,29.5,460,567,2024,5
5/19/2024,MAY,19,61,48,40.2,26.5,450,545,2024,5
5/20/2024,MAY,20,55,59,41,27.8,490,569,2024,5
5/21/2024,MAY,21,77,55,33.7,23.2,421,480,2024,5
5/22/2024,MAY,22,61,48,40.3,27.3,460,520,2024,5
5/23/2024,MAY,23,52,51,40.2,29,398,450,2024,5
5/24/2024,MAY,24,61,79,40.3,28.3,450,604,2024,5
5/25/2024,MAY,25,85,51,36.8,26.3,410,550,2024,5
5/26/2024,MAY,26,85,66,35.5,27.5,398,498,2024,5
5/27/2024,MAY,27,71,79,32.4,26.4,390,430,2024,5
5/28/2024,MAY,28,72,64,36,27.2,412,500,2024,5
5/29/2024,MAY,29,62,62,36.8,28.6,415,520,2024,5
5/30/2024,MAY,30,61,53,39.8,28.2,467,580,2024,5
5/31/2024,MAY,31,65,79,34.2,29.6,349,467,2024,5
6/1/2024,JUN,1,66,93,39,27.6,375,480,2024,6
6/2/2024,JUN,2,92,66,33.4,26,453,590,2024,6
6/3/2024,JUN,3,71,62,34.5,26.2,430,550,2024,6
6/4/2024,JUN,4,66,56,37,27,450,569,2024,6
6/5/2024,JUN,5,66,56,39.2,27.6,496,612,2024,6
6/6/2024,JUN,6,79,100,37.2,28.5,490,575,2024,6
6/7/2024,JUN,7,79,62,34.8,25.2,460,520,2024,6
6/8/2024,JUN,8,79,62,35.7,26.3,398,450,2024,6
6/9/2024,JUN,9,66,53,38,27.3,450,604,2024,6
6/10/2024,JUN,10,66,53,38.8,29.5,435,590,2024,6
6/11/2024,JUN,11,71,72,36.7,28.5,398,450,2024,6
6/12/2024,JUN,12,71,66,34.3,26.8,450,604,2024,6
6/13/2024,JUN,13,74,65,34.2,27.2,460,512,2024,6
6/14/2024,JUN,14,79,84,34.7,26.4,487,550,2024,6
6/15/2024,JUN,15,85,79,32.5,26.5,490,570,2024,6
6/16/2024,JUN,16,71,62,36,26.7,450,567,2024,6
6/17/2024,JUN,17,68,56,36.5,27.8,435,550,2024,6
6/18/2024,JUN,18,71,52,37,27.4,420,512,2024,6
6/19/2024,JUN,19,61,52,36.5,27.5,450,601,2024,6
6/20/2024,JUN,20,68,53,36.8,27.4,460,520,2024,6
6/21/2024,JUN,21,71,56,35.2,27.2,398,450,2024,6
6/22/2024,JUN,22,56,44,40.2,28.5,450,604,2024,6
6/23/2024,JUN,23,62,56,39.3,29.8,410,550,2024,6
6/24/2024,JUN,24,71,48,37.2,28.8,410,532,2024,6
6/25/2024,JUN,25,65,80,37.5,29.1,390,475,2024,6
6/26/2024,JUN,26,85,79,33.6,26.5,420,540,2024,6
6/27/2024,JUN,27,71,56,37,26.7,467,580,2024,6
6/28/2024,JUN,28,66,54,36.7,27.2,349,467,2024,6
6/29/2024,JUN,29,71,56,37.5,28.4,375,480,2024,6
6/30/2024,JUN,30,61,59,37.2,28.4,453,590,2024,6
7/1/2024,JUL,1,65,55,36.5,28,389,579,2024,7
7/2/2024,JUL,2,71,71,35.5,25.8,439,567,2024,7
7/3/2024,JUL,3,65,66,37,27.1,410,520,2024,7
7/4/2024,JUL,4,66,51,35.8,26.8,459,612,2024,7
7/5/2024,JUL,5,66,49,38,27.4,420,605,2024,7
7/6/2024,JUL,6,65,44,39,28.2,450,590,2024,7
7/7/2024,JUL,7,89,58,38,27,420,540,2024,7
7/8/2024,JUL,8,79,53,37,28.3,390,420,2024,7
7/9/2024,JUL,9,66,51,38.3,28.2,450,550,2024,7
7/10/2024,JUL,10,61,66,36,27.5,423,600,2024,7
7/11/2024,JUL,11,84,71,31.8,26.2,390,475,2024,7
7/12/2024,JUL,12,71,52,36.5,26.7,420,540,2024,7
7/13/2024,JUL,13,61,48,38.5,27,467,580,2024,7
7/14/2024,JUL,14,65,52,38.6,27.9,420,600,2024,7
7/15/2024,JUL,15,71,56,36,28.4,450,575,2024,7
7/16/2024,JUL,16,71,53,38.8,26.8,439,549,2024,7
7/17/2024,JUL,17,61,66,39.3,28.3,435,567,2024,7
7/18/2024,JUL,18,66,53,37.5,28.7,410,550,2024,7
7/19/2024,JUL,19,93,54,37.2,26,398,498,2024,7
7/20/2024,JUL,20,66,56,36,27.7,390,430,2024,7
7/21/2024,JUL,21,65,54,35.2,27.4,412,500,2024,7
7/22/2024,JUL,22,71,61,34.3,26.8,421,520,2024,7
7/23/2024,JUL,23,65,56,36,26.6,400,550,2024,7
7/24/2024,JUL,24,64,56,38.2,27.3,434,600,2024,7
7/25/2024,JUL,25,65,56,37.5,27.8,398,450,2024,7
7/26/2024,JUL,26,65,61,37,28.2,450,604,2024,7
7/27/2024,JUL,27,61,56,38.3,28,460,512,2024,7
7/28/2024,JUL,28,65,50,37.8,27.8,487,550,2024,7
7/29/2024,JUL,29,65,65,34.8,27.5,490,570,2024,7
7/30/2024,JUL,30,70,64,34,27.6,469,590,2024,7
7/31/2024,JUL,31,77,79,30.2,27.3,431,578,2024,7
